Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,53.503273010253906,60.040000915527344,60.119998931884766,59.599998474121094,59.599998474121094,8432600
2020-01-03,51.73884201049805,58.060001373291016,58.97999954223633,58.040000915527344,58.970001220703125,10546400
2020-01-06,51.14177322387695,57.38999938964844,57.689998626708984,57.130001068115234,57.599998474121094,8897200
2020-01-07,51.97052764892578,58.31999969482422,58.599998474121094,56.7400016784668,57.45000076293945,7444300
2020-01-08,52.35371398925781,58.75,58.97999954223633,58.11000061035156,58.189998626708984,5381500
2020-01-09,52.78145980834961,59.22999954223633,59.709999084472656,58.70000076293945,59.689998626708984,5112700
2020-01-10,52.45174026489258,58.86000061035156,59.70000076293945,58.77000045776367,59.70000076293945,4807700
2020-01-13,53.52109909057617,60.060001373291016,60.15999984741211,59.45000076293945,60.150001525878906,6613700
2020-01-14,53.75278854370117,60.31999969482422,60.63999938964844,59.91999816894531,60.15999984741211,6715200
2020-01-15,52.03291320800781,58.38999938964844,59.70000076293945,58.2599983215332,59.66999816894531,10075100
2020-01-16,52.35371398925781,58.75,59.689998626708984,58.29999923706055,59.20000076293945,11215700
2020-01-17,52.20222854614258,58.58000183105469,58.75,58.0099983215332,58.63999938964844,8125700
2020-01-21,51.89924240112305,58.2400016784668,59.0,57.470001220703125,57.9900016784668,9873700
2020-01-22,51.99726867675781,58.349998474121094,58.939998626708984,58.31999969482422,58.900001525878906,8124500
2020-01-23,51.22199249267578,57.47999954223633,58.06999969482422,56.619998931884766,57.86000061035156,9999200
2020-01-24,51.44475555419922,57.72999954223633,58.13999938964844,57.459999084472656,58.09000015258789,10402200
2020-01-27,49.243690490722656,55.2599983215332,55.9900016784668,55.060001373291016,55.619998931884766,9675500
2020-01-28,50.874446868896484,57.09000015258789,57.119998931884766,55.47999954223633,55.72999954223633,8124400
2020-01-29,50.963565826416016,57.189998626708984,57.52000045776367,56.849998474121094,57.52000045776367,7693400
2020-01-30,49.72490310668945,55.79999923706055,56.040000915527344,55.060001373291016,55.08000183105469,10295700
2020-01-31,48.067386627197266,53.939998626708984,55.47999954223633,53.599998474121094,55.43000030517578,13467200
2020-02-03,48.80703353881836,54.77000045776367,54.939998626708984,54.13999938964844,54.349998474121094,9594300
2020-02-04,51.257625579833984,57.52000045776367,57.63999938964844,56.900001525878906,56.91999816894531,12746600
2020-02-05,51.61408233642578,57.91999816894531,58.150001525878906,57.16999816894531,58.099998474121094,6594400
2020-02-06,51.70319366455078,58.02000045776367,58.279998779296875,57.279998779296875,58.27000045776367,4236300
2020-02-07,50.081336975097656,56.20000076293945,57.13999938964844,56.060001373291016,57.13999938964844,6808400
2020-02-10,50.81206130981445,57.02000045776367,57.04999923706055,56.34000015258789,56.439998626708984,4281200
2020-02-11,52.27352523803711,58.65999984741211,58.900001525878906,57.810001373291016,57.95000076293945,6523200
2020-02-12,53.13791275024414,59.630001068115234,59.75,58.900001525878906,59.25,5962900
2020-02-13,52.870574951171875,59.33000183105469,59.70000076293945,58.7400016784668,59.130001068115234,6460100
2020-02-14,51.85468292236328,58.189998626708984,59.16999816894531,57.869998931884766,59.02000045776367,6932400
2020-02-18,50.06352996826172,56.18000030517578,56.560001373291016,55.630001068115234,56.099998474121094,10989000
2020-02-19,51.36456298828125,57.63999938964844,57.939998626708984,57.0,57.25,7866300
2020-02-20,50.33085632324219,56.47999954223633,57.040000915527344,55.810001373291016,56.939998626708984,7192900
2020-02-21,49.537757873535156,55.59000015258789,56.650001525878906,55.52000045776367,56.650001525878906,6816600
2020-02-24,48.22779083251953,54.119998931884766,54.689998626708984,53.18000030517578,53.54999923706055,9968800
2020-02-25,47.99610900878906,53.86000061035156,55.470001220703125,53.83000183105469,55.33000183105469,12670700
